id;cohort;gender;country;duration;family_jur;jud_vars_rules;jud_vars_gender;jud_vars_ideology;jud_vars_public;jud_vars_courts;jud_vars_polits;jud_vars_litig;ideo_lr;ideo_eu;ideo_bel;cogn_stud;cogn_pig;cogn_stock;dec_tort_prop;dec_tort_art3;dec_rob_f;dec_rob_m;dec_rob_fx;dec_ref_2m;dec_ref_reas;dec_car_ford;dec_car_audi;dec_fin_contr;dec_fin_effet;ecj_power;eu_inst_com;eu_inst_ep;eu_inst_cons;eu_inst_ecj;eu_inst_ecb
R_2uKyb6f6NaFzI5M;fdd2020;F;Belgium;910;1;1;5;3;7;2;6;4;4;8;8;29;20;7000;NA;2;NA;NA;24;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2PnkEVzcGcHg5mM;fdd2020;F;Belgium;904;2;1;7;3;5;4;6;2;7;4;1;30;20;7000;NA;2;NA;NA;36;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2sYLamZDQjkMIRn;fdd2020;F;Belgium;910;1;1;4;2;5;6;7;3;3;8;3;15;10;7000;NA;1;NA;72;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_0wY6NAYPQbEG9wZ;fdd2020;M;Belgium;752;2;1;7;4;5;2;6;3;0;5;4;0;0;0;1;NA;NA;8;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3dTh5scl9qAxpTf;fdd2020;F;Belgium;1109;2;1;7;5;6;4;3;2;6;8;2;30;20;3000;1;NA;10;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2CmjK642R1RvF8e;fdd2020;F;Belgium;547;2;6;NA;3;NA;NA;NA;4;7;4;1;30;10;0;NA;2;48;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3R1rJvSwgkGU9rB;fdd2020;F;Belgium;958;2;1;6;4;3;7;5;2;3;8;8;15;20;7000;1;NA;24;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2eaPuwO1lXIRWTu;fdd2020;M;Belgium;1262;1;1;7;4;3;2;5;6;8;3;NA;29;10;7000;NA;1;NA;NA;168;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1lobsCIGhD23sBH;fdd2020;M;Belgium;998;2;1;7;6;4;2;5;3;7;9;2;15;20;6000;2;NA;NA;70;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2pSRePIwQDVpcI8;fdd2020;M;Belgium;884;2;2;7;3;5;4;6;1;8;5;1;29;20;0;NA;1;NA;60;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3iWJM0I14KCwrsx;fdd2020;F;Belgium;1084;2;1;5;6;4;7;3;2;7;7;7;30;20;14500;NA;1;NA;48;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1jNSKXbc6VdxRdG;fdd2020;F;Belgium;1094;2;1;5;4;7;2;6;3;3;7;8;30;0;7000;NA;1;NA;NA;48;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2aX3gD2llM9Gm24;fdd2020;F;Belgium;938;2;1;6;7;5;4;3;2;5;4;3;1;10;14000;1;NA;NA;NA;84;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3pi3r7zVFSvD9Mq;fdd2020;F;Belgium;1135;2;1;6;5;4;3;7;2;6;5;1;20;20;10;NA;1;24;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2Y38aFCGomxo0Kk;fdd2020;F;Belgium;796;2;1;6;5;3;2;7;4;5;5;NA;30;10;6000;NA;1;NA;NA;180;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_vYoljz0B6asn4Yh;fdd2020;F;Belgium;941;2;1;7;6;5;2;4;3;3;8;8;31;0;0;NA;1;NA;60;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3haxCpWQifHtLdq;fdd2020;F;Belgium;910;1;1;7;6;5;3;4;2;6;8;2;30;30;7000;1;NA;NA;NA;60;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_C4d4kPqrp27wV2x;fdd2020;F;Belgium;1023;2;6;4;7;1;3;2;5;5;3;2;1;20;14000;1;NA;NA;60;NA;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_sbzMwrUULcxScnf;fdd2020;F;Belgium;927;2;3;5;7;2;1;6;4;2;8;3;0;10;10000;2;NA;NA;24;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1CsdVO1VaG35rrX;fdd2020;M;Belgium;1001;2;1;7;4;5;3;6;2;2;7;4;29;20;7000;2;NA;8;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1CJ6WoQYViFnRVI;fdd2020;F;Belgium;1027;2;2;7;3;4;6;5;1;4;7;2;30;10;7000;NA;1;NA;NA;48;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2UhIwcjFGTSKgRC;fdd2020;F;Belgium;895;2;1;7;6;5;2;4;3;4;5;2;29;10;7000;NA;1;48;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_77BJzczPtJMYUKJ;fdd2020;F;Belgium;1016;2;1;7;4;3;5;6;2;1;9;3;29;20;7000;NA;1;NA;NA;42;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3DcGNum47y5oYXD;fdd2020;F;Belgium;1105;2;1;6;3;7;2;5;4;5;10;NA;29;20;7000;1;NA;NA;24;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3PRLC91OkWZHJ5h;fdd2020;F;Belgium;1066;2;4;7;1;5;2;3;6;3;10;3;30;20;10000;1;NA;NA;6;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_xzLU7wznvUdKsGR;fdd2020;F;Belgium;942;2;6;4;3;1;2;5;7;2;9;2;31;20;6000;NA;2;139;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3flSEaBRzdZwkUR;fdd2020;F;Belgium;909;2;1;7;5;3;2;6;4;7;7;1;29;20;6000;2;NA;36;NA;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3MzLphgTSMJ6j1G;fdd2020;F;Belgium;1018;1;2;6;7;5;1;4;3;5;5;7;30;10;10000;NA;1;36;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_eniha9OZcxxbqZH;fdd2020;F;Belgium;1078;1;1;6;4;5;3;7;2;7;4;2;30;30;7000;NA;1;36;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3CASdTHtYP3lcGL;fdd2020;F;Belgium;999;2;1;7;3;6;5;4;2;5;8;7;29;20;7000;1;NA;NA;24;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2OUwBS73agHw64F;fdd2020;M;Belgium;780;2;1;5;4;6;NA;2;3;7;7;1;30;10;7000;NA;2;NA;36;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2TBO4q6nCpwJyXP;fdd2020;F;Belgium;1081;2;1;7;5;4;2;6;3;4;8;7;30;30;7000;1;NA;NA;5;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1i8UqXFyHr8dVUS;fdd2020;F;Belgium;978;1;3;7;4;6;5;2;1;4;7;NA;28;20;7000;1;NA;NA;8;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2xXYMsTgT4V3Nq0;fdd2020;F;Belgium;1142;2;1;7;5;6;2;4;3;3;7;8;29;10;7000;1;NA;NA;NA;120;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2AEyK2FOgtGR2wz;fdd2020;M;Belgium;1020;1;1;7;3;6;2;5;4;7;6;1;0;10;7000;NA;1;86;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2TpgZ8ehqqOjxAi;fdd2020;F;Belgium;1110;2;2;7;5;4;3;6;1;8;6;1;29;10;7000;1;NA;14;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_7Qwu8cOMPePWvrb;fdd2020;M;Belgium;782;2;1;7;5;6;2;4;3;4;8;NA;29;20;7000;1;NA;30;NA;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1dElBpbTLHkWKyN;fdd2020;M;Belgium;1163;2;1;7;4;5;2;6;3;6;8;7;29;20;7000;NA;1;NA;NA;204;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2Tu67rC5ukEn3u6;fdd2020;M;Belgium;1004;2;1;7;6;4;2;5;3;7;7;1;29;20;7000;1;NA;NA;8;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_30ufdo40WfnoTqC;fdd2020;F;Belgium;1145;2;1;5;3;6;7;4;2;7;8;2;29;10;6000;1;NA;NA;36;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1DSVqlupPntkKNS;fdd2020;M;Belgium;799;2;1;7;5;6;3;4;2;3;10;3;29;20;6000;1;NA;NA;NA;48;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_OAVYK2uy1xosWw9;fdd2020;F;Belgium;1082;2;2;6;1;3;4;7;5;4;9;7;29;20;7000;1;NA;NA;24;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2vkoHXtNlRlBU4z;fdd2020;F;Belgium;988;2;1;7;4;6;2;5;3;5;2;NA;30;0;10000;1;NA;6;NA;NA;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1LSfrlfLpKIJ8yR;fdd2020;F;Belgium;1085;1;3;5;1;2;7;6;4;6;8;2;29;10;7000;NA;1;12;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_RJoR5Kh3XhfgiU9;fdd2020;F;Belgium;977;1;6;3;4;2;7;1;5;5;8;7;29;20;7000;NA;1;NA;6;NA;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2WP5eQRs7ur2AHl;fdd2020;M;Belgium;1212;2;1;4;5;7;3;6;2;7;6;NA;30;10;7000;2;NA;NA;NA;24;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1ePPNpclBHapF5W;fdd2020;F;Belgium;1066;1;1;7;4;5;3;6;2;7;8;1;1;10;0;NA;1;NA;NA;120;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2q8k8GtE35LYjzZ;fdd2020;M;Belgium;959;2;1;7;5;4;2;6;3;4;10;8;29;20;7000;NA;1;NA;NA;144;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1oz5runcgtUBAes;fdd2020;F;Belgium;1097;2;1;6;2;3;NA;4;5;6;6;NA;31;20;7000;1;NA;NA;60;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3megpvWtO1fCrv8;fdd2020;F;Belgium;1156;2;1;7;6;2;5;4;3;3;NA;NA;30;20;10000;NA;2;48;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2cbkZ6G0iUVflTm;fdd2020;F;Belgium;1303;1;1;7;4;5;3;6;2;6;8;2;29;20;7000;2;NA;24;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1eFw9Nu3wpwzRjG;fdd2020;F;Belgium;1136;2;1;7;2;4;5;6;3;4;10;NA;29;20;7000;1;NA;12;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3qvxpGMpzRoU9c1;fdd2020;F;Belgium;1104;2;1;6;3;7;5;4;2;3;8;8;15;10;0;1;NA;120;NA;NA;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_9SvKAAucGRxLW0h;fdd2020;F;Belgium;1200;2;1;5;6;4;3;7;2;NA;NA;NA;29;20;7;NA;1;NA;NA;60;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3Kwlt0Z82Si0XtD;fdd2020;F;Belgium;1227;2;2;7;NA;4;1;6;3;6;7;7;30;10;6000;NA;1;NA;60;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_337hT9MnqOeessd;fdd2020;F;Belgium;1795;2;1;4;2;3;7;5;6;6;5;1;0;10;3000;NA;1;NA;36;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1otpT1Q0ZQwaAo8;fdd2020;F;Belgium;1202;2;7;4;2;1;5;3;6;7;8;2;29;0;7000;1;NA;NA;NA;50;NA;1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_SBJ3j9apYO7ooO5;fdd2020;F;Belgium;1157;2;6;4;2;3;5;1;7;3;8;2;29;10;7000;NA;1;NA;NA;48;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_22V3CsRxo8jbSOo;fdd2020;F;Belgium;1185;2;1;6;3;5;2;7;4;6;7;2;30;10;10000;2;NA;NA;36;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3dFyHHZOxP1okct;fdd2020;F;Belgium;1227;2;1;6;5;2;3;NA;4;4;6;3;30;10;7000;NA;1;NA;36;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_ZE7Kvst4Vbw6TZv;fdd2020;M;Belgium;912;1;1;7;5;4;3;6;2;7;5;7;30;20;6000;1;NA;36;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3DdrEsTw37AKifS;fdd2020;F;Belgium;1258;1;1;6;3;4;2;7;5;7;7;1;29;20;7000;NA;1;48;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_xzQEDGO0rHfw2tj;fdd2020;M;Belgium;1096;2;7;1;2;3;5;4;6;8;6;1;0;20;14000;1;NA;NA;NA;48;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2AXqjBXlxjUMrBT;fdd2020;F;Belgium;1083;2;NA;5;2;NA;NA;4;3;7;5;1;30;20;3000;NA;1;NA;NA;204;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3GwkdSSreJrlnHl;fdd2020;F;Belgium;743;2;1;6;7;4;2;5;3;7;7;2;15;20;7000;2;NA;30;NA;NA;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_emp8nY0THnvm8jn;fdd2020;F;Belgium;1403;2;2;6;3;4;7;5;1;6;5;2;29;20;7000;NA;1;NA;NA;55;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1Hoakq0KGEnihgP;fdd2020;F;Belgium;1169;2;1;5;3;6;2;7;4;5;8;2;29;20;7000;NA;1;NA;NA;72;3;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3M4mH7N8aQDaEva;fdd2020;F;Belgium;1124;2;1;7;5;6;2;4;3;6;4;1;29;20;7000;2;NA;NA;NA;96;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3e46bGBhKt3cjww;fdd2020;M;Belgium;1074;2;1;7;5;6;3;4;2;4;10;2;1;20;7000;NA;1;10;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_C1huQX84HOSvo0F;fdd2020;F;Belgium;1083;2;1;5;6;4;3;7;2;4;9;2;0;20;7000;NA;1;12;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_pQL2avIrN3u4ufT;fdd2020;F;Belgium;1397;1;2;7;3;5;1;6;4;6;3;7;29;10;12900;2;NA;NA;NA;57;NA;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_23fb9ars3S9KLkk;fdd2020;M;Belgium;1086;2;1;NA;4;3;NA;5;NA;8;7;1;1;20;7000;2;NA;NA;NA;85;2;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2X57GdghAj2UXko;fdd2020;F;Belgium;1418;2;4;3;1;2;7;6;5;5;8;NA;15;20;7000;1;NA;24;NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_3M3xnQW5vRropGb;fdd2020;M;Belgium;1088;2;2;6;5;4;3;7;1;7;9;1;29;20;7000;NA;1;NA;30;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2DZXi1tNyfvUOca;fdd2020;F;Belgium;1125;2;1;6;5;3;4;7;2;7;5;NA;29;20;10000;2;NA;NA;24;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2awrHhMRyLy9hPO;fdd2020;F;Belgium;1138;2;1;7;6;3;4;5;2;5;5;2;29;10;7000;2;NA;NA;NA;66;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_AsPmJcevHkh0hCF;fdd2020;NA;Belgium;1097;NA;1;7;6;5;3;4;2;8;6;1;29;20;7000;1;NA;102;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2EofJRxf2fgIule;fdd2020;M;Belgium;359;2;1;7;4;5;2;6;3;6;8;1;29;20;7000;2;NA;NA;NA;120;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1gk06uib20cswcc;fdd2020;F;Belgium;1260;2;1;7;6;3;5;4;2;3;7;8;29;20;7000;1;NA;84;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3RsZ54n3YBEkApU;fdd2020;F;Belgium;1144;2;2;7;6;4;1;5;3;NA;7;NA;0;0;7000;2;NA;24;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3k54F55EjUy6uhD;fdd2020;F;Belgium;1227;1;1;6;4;5;3;7;2;6;8;NA;29;0;7000;2;NA;NA;NA;48;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_25vmvgL0oTc5gZX;fdd2020;F;Belgium;1019;2;1;6;5;4;2;NA;3;5;8;NA;30;20;0;2;NA;120;NA;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1jE6pVJQxTLgzmw;fdd2020;F;Belgium;1255;2;1;7;5;4;2;6;3;4;8;3;29;20;7000;NA;1;18;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3G7VLAKECqHxBqx;fdd2020;F;Belgium;1519;2;3;4;2;1;6;7;5;5;6;NA;31;10;7000;1;NA;36;NA;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_23f9UTzqkGkE2j2;fdd2020;M;Belgium;1187;2;1;4;NA;6;3;7;2;8;5;1;30;30;7000;1;NA;NA;NA;100;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_33pZvPzt0YyMd1W;fdd2020;F;Belgium;1311;2;1;4;3;7;5;6;2;7;6;1;30;30;6000;NA;1;72;NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1CKpqyXHT4sUirt;fdd2020;F;Belgium;1311;2;1;7;5;6;2;4;3;4;9;7;30;20;7000;NA;1;NA;15;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1GHLELvivb4HTjq;fdd2020;F;Belgium;1339;2;1;7;3;4;6;5;2;7;6;7;30;20;7000;NA;1;NA;24;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_ZespW8tEmFX2vgl;fdd2020;F;Belgium;1382;2;1;6;4;2;7;5;3;5;5;NA;1;10;7000;NA;1;120;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3I6kXGj2eLbmQbx;fdd2020;F;Belgium;1300;2;7;3;4;5;6;1;2;7;6;1;30;20;7000;1;NA;72;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_bsgPtVgk7f4wwAp;fdd2020;F;Belgium;1557;2;1;7;6;5;3;4;2;6;8;7;30;20;14000;2;NA;NA;36;NA;NA;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2fp832XVB1r7IuT;fdd2020;F;Belgium;1232;1;1;7;4;5;6;3;2;6;8;1;29;10;7000;NA;1;NA;NA;72;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3RxbDD01yVbRcXb;fdd2020;M;Belgium;1396;2;2;6;3;4;1;7;5;8;3;1;30;10;7000;2;NA;35;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_270ToF9tsZxJMD5;fdd2020;F;Belgium;1373;2;1;7;6;3;2;5;4;4;7;3;29;20;7000;1;NA;NA;30;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_1LnyNu6usK1HfD0;fdd2020;F;Belgium;1081;2;1;7;4;5;3;6;2;5;8;7;29;20;70000;NA;1;NA;NA;60;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2U4qCOqxC76ZmTa;fdd2020;F;Belgium;1368;1;1;4;3;7;2;5;6;8;4;NA;15;20;7000;2;NA;NA;30;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_7PcL5qZ9eTlHZXr;fdd2020;M;Belgium;1518;2;1;6;5;7;2;4;3;6;4;2;15;10;0;NA;1;NA;NA;48;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_e2kSFfYXdAri3kJ;fdd2020;F;Belgium;1344;2;1;5;6;3;2;7;4;7;5;1;30;10;5333;NA;1;NA;30;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_9KoXbWnlgpB2GOd;fdd2020;F;Belgium;1457;2;1;7;6;NA;4;NA;3;3;NA;NA;29;20;0;NA;2;48;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2riMH8CcohLE6Jo;fdd2020;F;Belgium;1639;2;1;7;5;6;2;3;4;9;5;9;0;10;0;NA;1;NA;100;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1er7bIwwYFrXD5R;fdd2020;F;Belgium;1099;2;7;2;1;5;6;3;4;7;8;1;NA;20;7000;2;NA;NA;NA;108;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_pMo2roGNNn75jRD;fdd2020;F;Belgium;1512;2;6;2;3;1;7;4;5;6;9;2;29;20;7000;NA;2;NA;18;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1hMPQNgZ3FOzes3;fdd2020;M;Belgium;58;2;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;0;0;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3OlG8dDrZsgk9pD;fdd2020;F;Belgium;1552;2;1;7;4;5;2;6;3;5;9;3;30;20;6000;2;NA;36;NA;NA;NA;1;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2ceJzkXP31TrZhT;fdd2020;M;Belgium;1510;2;1;7;6;3;4;NA;5;6;6;NA;20;20;3000;NA;2;24;NA;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3J7ZKp6gozamVlc;fdd2020;F;Belgium;1523;2;2;7;6;3;4;5;1;5;9;NA;30;20;10000;NA;1;NA;7;NA;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_269jBhOX5sRUTV3;fdd2020;F;Belgium;1402;1;1;6;5;7;2;3;4;7;5;2;30;0;0;NA;1;NA;NA;4;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2RXj0TnU95Yac0k;fdd2020;F;Belgium;1381;1;1;6;5;7;2;3;4;7;5;2;30;0;0;NA;1;NA;NA;4;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2UaRT8Pi1rz0Qa8;fdd2020;F;Belgium;1131;2;1;6;5;7;2;3;4;7;5;2;30;0;0;1;NA;4;NA;NA;3;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_XRh1sAA2GRQX2BH;fdd2020;M;Belgium;1622;2;1;6;4;7;2;5;3;5;7;11;29;20;7000;NA;1;NA;48;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_2z77VEzXTmOJZ2U;fdd2020;F;Belgium;1546;1;1;6;3;5;4;7;2;2;8;3;1;20;7000;NA;1;NA;6;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3hhlhXbTGQyQqDD;fdd2020;M;Belgium;1270;2;1;7;6;4;2;5;3;4;9;3;29;20;6000;1;NA;NA;NA;42;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3GiAXRfUXX3bP5q;fdd2020;F;Belgium;1550;2;5;NA;NA;NA;4;1;3;5;6;2;29;0;10000;1;NA;NA;14;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_0ldVnaOTRF7fC9j;fdd2020;F;Belgium;1728;2;1;5;6;7;3;4;2;7;6;2;15;20;7000;1;NA;36;NA;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2cjvcz5okeFTAJx;fdd2020;NA;NA;1618;NA;1;6;7;4;2;5;3;7;5;NA;29;10;7000;1;NA;NA;NA;30;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_28Fz7Nkjj06kWjk;fdd2020;F;Belgium;597;2;1;5;4;3;2;6;7;3;7;2;30;20;14000;1;NA;NA;36;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_cA6CNfEnO799lMl;fdd2020;F;Belgium;1501;2;1;7;5;4;3;6;2;2;8;3;29;10;7000;NA;2;16;NA;NA;NA;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_1jxDV0pZBhFc3xv;fdd2020;F;Belgium;2192;2;7;NA;4;NA;5;2;6;8;2;1;15;0;7000;NA;1;NA;NA;120;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2CpFZE57L9jM8x3;fdd2020;F;Belgium;2274;2;1;7;6;4;2;3;5;3;7;8;30;20;3000;1;NA;NA;30;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_b91f14qtlvDGTrb;fdd2020;M;Belgium;1782;2;1;6;5;4;3;NA;2;3;9;NA;30;0;7000;2;NA;48;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_0NG9c8J91nk6X6x;fdd2020;F;Belgium;1262;2;1;5;4;6;3;7;2;1;9;3;30;0;10000;NA;1;16;NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3L6njw6dlpu5VwC;fdd2020;F;Belgium;2336;2;1;7;6;2;3;5;4;4;4;2;15;20;7000;1;NA;NA;9;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_ZETMuq3jbGmaqNr;fdd2020;F;Belgium;1162;2;1;7;6;2;3;4;5;2;10;NA;30;0;7;1;NA;NA;NA;120;NA;2;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_1kXOWd0jpXDaycG;fdd2020;M;Belgium;1448;2;1;7;5;6;3;4;2;7;6;1;29;20;7000;1;NA;18;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2CDpGb0UcZidEIS;fdd2020;M;Belgium;782;2;1;5;6;2;3;7;4;6;8;2;29;10;7000;NA;1;NA;36;NA;NA;2;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
