id;cohort;gender;country;duration;family_jur;jud_vars_rules;jud_vars_gender;jud_vars_ideology;jud_vars_public;jud_vars_courts;jud_vars_polits;jud_vars_litig;ideo_lr;ideo_eu;ideo_bel;cogn_stud;cogn_pig;cogn_stock;dec_tort_prop;dec_tort_art3;dec_rob_f;dec_rob_m;dec_rob_fx;dec_ref_2m;dec_ref_reas;dec_car_ford;dec_car_audi;dec_fin_contr;dec_fin_effet;ecj_power;eu_inst_com;eu_inst_ep;eu_inst_cons;eu_inst_ecj;eu_inst_ecb
R_1kYwX0qYCftJZzo;fdd2020;F;Belgium;366;2;7;2;3;4;6;1;5;2;8;7;30;10;100;2;NA;NA;14;NA;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3lKuR8Bs9ABspjS;fdd2020;M;Belgium;545;1;1;5;3;7;4;6;2;6;7;2;29;20;7000;NA;1;100;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_089KnrIxRmFwKhb;fdd2020;F;Belgium;648;2;7;1;2;3;6;4;5;6;7;7;30;20;6000;1;NA;NA;NA;60;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2amEnJS8RRapkwT;fdd2020;F;Belgium;630;2;1;6;7;3;2;4;5;6;5;NA;0;10;7000;1;NA;NA;NA;60;NA;3;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_2tzFZAdyAVPDYef;fdd2020;M;Belgium;600;2;1;7;5;3;2;6;4;2;9;4;29;20;7000;NA;1;NA;NA;24;2;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA
R_3F23JxfmTSL95Cq;fdd2020;F;Belgium;837;2;1;5;NA;4;NA;6;2;7;9;2;15;20;10000;1;NA;60;NA;NA;NA;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2tyTjYKrN6pN0Hb;fdd2020;F;Belgium;441;2;1;7;NA;5;3;NA;6;5;7;7;30;10;0;NA;1;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_25EEWB62RMzzTFO;fdd2020;M;Belgium;645;2;1;7;4;5;2;6;3;3;9;3;29;20;7000;NA;1;24;NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
R_pQpg9HY5fyrKRup;fdd2020;M;Belgium;859;2;1;6;7;2;4;5;3;7;8;1;30;10;7000;2;NA;NA;NA;60;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_2vcTfs11WhcIk71;fdd2020;F;Belgium;671;2;7;2;3;1;4;5;6;5;6;NA;29;20;7000;1;NA;20;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_20NXKgoJxu4EokI;fdd2020;F;Belgium;680;2;1;5;3;6;7;4;2;4;8;2;29;20;7000;2;NA;60;NA;NA;1;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA
R_3GjhSzIWzNUQndw;fdd2020;M;Belgium;706;2;1;7;3;5;2;4;6;8;4;1;29;20;7000;NA;1;NA;42;NA;NA;3;NA;1;NA;NA;NA;NA;NA;NA;NA;NA
